Total_Emissions,City,Harvey,Event_Type,Event_Start_Date,Y,X,Zip,Total_2017_Events
"23,390",MIDKIFF,UNKNOWN,EMISSIONS EVENT,8/30/2017,31.643478,-101.768281,79755,10
385,MIDKIFF,NO,EMISSIONS EVENT,8/26/2017,31.643478,-101.768281,79755,10
553,MIDLAND,NO,EMISSIONS EVENT,9/5/2017,32.179105,-102.19354,79714,2
"5,506",EL PASO,NO,EMISSIONS EVENT,8/25/2017,31.984433,-106.431228,79934,1
"13,258",MIDLAND,NO,EMISSIONS EVENT,9/7/2017,31.988694,-102.5765,79760,13
"9,642",PASADENA,YES,AIR SHUTDOWN,8/26/2017,29.727778,-95.181111,77506,2
314,PASADENA,YES,EMISSIONS EVENT,8/27/2017,29.715552,-95.182761,77506,4
314,PASADENA,YES,EMISSIONS EVENT,8/30/2017,29.715552,-95.182761,77506,4
0,PASADENA,YES,EMISSIONS EVENT,8/27/2017,29.715552,-95.182761,77506,4
0,PASADENA,YES,EMISSIONS EVENT,8/31/2017,29.715552,-95.182761,77506,4
720,PASADENA,YES,AIR SHUTDOWN,8/27/2017,29.723889,-95.208888,77506,14
"5,760",PASADENA,YES,AIR STARTUP,9/5/2017,29.723889,-95.208888,77506,14
"144,601",PASADENA,YES,EMISSIONS EVENT,8/27/2017,29.723367,-95.201953,77506,2
"21,458",PASADENA,YES,EMISSIONS EVENT,8/30/2017,29.723367,-95.201953,77506,2
512,DILLEY,YES,EMISSIONS EVENT,8/29/2017,28.698527,-98.822403,78017,3
"16,238",CATARINA,NO,EMISSIONS EVENT,8/29/2017,28.183836,-99.619788,78834,1
"73,755",PORT ARTHUR,YES,EMISSIONS EVENT,8/29/2017,29.883333,-93.958333,77640,9
"5,352",SEMINOLE,YES,EMISSIONS EVENT,8/30/2017,32.634979,-102.762044,79360,5
"11,019",SEMINOLE,YES,EMISSIONS EVENT,8/30/2017,32.627724,-102.741719,79360,1
"2,403",SEMINOLE,YES,EMISSIONS EVENT,8/30/2017,32.635034,-102.762016,79360,2
"2,990",SEMINOLE,NO,EMISSIONS EVENT,8/28/2017,32.647026,-102.743034,79360,4
"4,655",CLAIREMONT,NO,EMISSIONS EVENT,9/1/2017,33.232433,-100.868728,79528,11
"30,899",SEMINOLE,NO,MAINTENANCE,8/23/2017,32.7578,-102.681,79360,21
"7,748",SEMINOLE,NO,EMISSIONS EVENT,8/30/2017,32.757359,-102.682919,79360,21
213,DEER PARK,YES,EMISSIONS EVENT,8/27/2017,29.718083,-95.133556,77536,20
"42,412",DEER PARK,YES,EMISSIONS EVENT,8/28/2017,29.718083,-95.133556,77536,20
"1,057",DEER PARK,YES,EMISSIONS EVENT,9/1/2017,29.718083,-95.133556,77536,20
